Parameters,Helsinki-NLP BLEU Score,Helsinki-NLP METEOR Score,Fine-tuned Model BLEU Score,Fine-tuned Model METEOR Score
"max_new_tokens=512, num_beams=2, do_sample=True, top_k=50, top_p=0.9, temperature=1.0 ",1.97645,0.02417,53.37589,0.13356
"max_new_tokens=128, num_beams=4, early_stopping=True ",0.05157,0.01912,54.28504,0.12801
"max_new_tokens=256, num_beams=4, no_repeat_ngram_size=3, repetition_penalty=1.2, length_penalty=1.0 ",0.00004,0.01936,52.40971,0.14338
"max_new_tokens=256, num_beams=5, no_repeat_ngram_size=3, repetition_penalty=1.1, temperature=0.8 ",0.00007,0.01957,52.54894,0.14307
"max_new_tokens=512, num_beams=6, no_repeat_ngram_size=4, repetition_penalty=1.2, temperature=0, length_penalty=2.0 ",17.9068,0.0608,52.60082,0.14347
"max_new_tokens=256, num_beams=3, do_sample=True, temperature=1.2, top_p=0.7, top_k=100, early_stopping=True, length_penalty=1.1 ",3.35249,0.02379,54.7559,0.1316
"max_new_tokens=300, num_beams=5, no_repeat_ngram_size=3, repetition_penalty=1.3, length_penalty=1.5 ",2.43477,0.04277,52.40892,0.143
"max_new_tokens=400, num_beams=4, no_repeat_ngram_size=2, early_stopping=True, temperature=0.5, repetition_penalty=1.05 ",0.00995,0.01774,47.58037,0.13732
"max_new_tokens=350, num_beams=5, no_repeat_ngram_size=3, repetition_penalty=1.2, do_sample=True, top_k=40, top_p=0.85, temperature=1.1 ",0.9296,0.02131,52.62736,0.14214
"max_new_tokens=512, num_beams=8, no_repeat_ngram_size=4, repetition_penalty=1.0, length_penalty=1.2, temperature=0.3, early_stopping=False ",0.48515,0.0312,53.16295,0.14225
"max_new_tokens=128, num_beams=5, length_penalty=0.8, no_repeat_ngram_size=2, do_sample=False, temperature=0.0 ",0.00006,0.01391,48.74128,0.13906
"max_new_tokens=512, num_beams=4, no_repeat_ngram_size=3, repetition_penalty=1.3, length_penalty=2.0, temperature=1.0, early_stopping=True ",0.0175,0.02139,49.89703,0.14339
"max_new_tokens=256, num_beams=2, no_repeat_ngram_size=2, repetition_penalty=1.0, do_sample=True, top_k=50, temperature=1.3, top_p=0.9 ",0.54719,0.02226,42.20732,0.13531
"max_new_tokens=256, num_beams=8, no_repeat_ngram_size=4, repetition_penalty=1.1, length_penalty=1.0, temperature=0.6, top_p=0.95, do_sample=True ",0.00078,0.02233,56.72177,0.14304
"max_new_tokens=400, num_beams=5, no_repeat_ngram_size=3, repetition_penalty=1.25, temperature=0.2, top_p=0.9, top_k=40, early_stopping=False ",0.00021,0.01984,52.63562,0.14279
"max_new_tokens=512, num_beams=6, no_repeat_ngram_size=2, repetition_penalty=1.05, length_penalty=2.0, temperature=0.9, do_sample=False ",29.91367,0.07786,46.07286,0.13885
"max_new_tokens=512, num_beams=4, no_repeat_ngram_size=3, repetition_penalty=1.3, temperature=1.4, top_k=100, top_p=0.8, length_penalty=1.3 ",3.95208,0.03001,49.89703,0.14276
"max_new_tokens=200, num_beams=3, no_repeat_ngram_size=3, repetition_penalty=1.2, temperature=0.7, do_sample=True, top_p=0.9, top_k=50 ",0.01581,0.02203,52.77237,0.14248
"max_new_tokens=512, num_beams=5, no_repeat_ngram_size=5, repetition_penalty=1.3, length_penalty=1.0, temperature=0.0 ",1.88293,0.02017,53.1096,0.14308
